,index,address,zip_code,price,bed,bath,sqr_footage,property_link
1425,1425,2370 W 2nd Ave #1205,V6K 1J2,"$1,098,000",1 bed,1 bath,678 ,https://www.redfin.com/bc/vancouver/2370-W-2nd-Ave-V6K-1J2/unit-1205/home/155827114
1426,1426,1727 Macdonald St,V6K 3X7,"$3,095,000",8 beds,4 baths,"3,375 ",https://www.redfin.com/bc/vancouver/1727-Macdonald-St-V6K-3X7/home/155954717
1427,1427,3719 W 3rd Ave,V6R 1M2,"$4,588,000",5 beds,4 baths,"3,167 ",https://www.redfin.com/bc/vancouver/3719-W-3rd-Ave-V6R-1M2/home/155329992
1428,1428,3637 W 17th Ave #408,V6S 1A3,"$899,999",2 beds,2 baths,815 ,https://www.redfin.com/bc/vancouver/3637-W-17th-Ave-V6S-1A3/unit-408/home/155733680
1429,1429,3322 W 6th Ave,V6R 1T1,"$3,580,000",5 beds,3 baths,"2,467 ",https://www.redfin.com/bc/vancouver/3322-W-6th-Ave-V6R-1T1/home/155228445
1430,1430,2457 W 7th Ave,V6K 1Y6,"$1,999,999",3 beds,2.5 baths,"1,357 ",https://www.redfin.com/bc/vancouver/2457-W-7th-Ave-V6K-1Y6/home/155858577
1431,1431,2880 W 4th Ave #12,V6K 1R2,"$1,150,000",2 beds,1.5 baths,943 ,https://www.redfin.com/bc/vancouver/2880-W-4th-Ave-V6K-1R2/unit-12/home/194376325
1432,1432,2410 Cornwall Ave #309,V6K 1B8,"$1,349,000",2 beds,2 baths,"1,065 ",https://www.redfin.com/bc/vancouver/2410-Cornwall-Ave-V6K-1B8/unit-309/home/155629626
1433,1433,373 E 33rd Ave #3,V5V 2Z8,"$1,949,000",3 beds,2.5 baths,"1,479 ",https://www.redfin.com/BC/Vancouver/373-E-33rd-Ave-V5V-2Z8/unit-3/home/195221713
1434,1434,371 E 33rd Ave #6,V5V 2Z8,"$1,975,000",3 beds,2.5 baths,"1,525 ",https://www.redfin.com/bc/vancouver/371-E-33rd-Ave-V5V-2Z8/unit-6/home/195221712
1435,1435,375 E 33rd Ave #2,V5V 2Z8,"$2,199,000",4 beds,2.5 baths,"1,691 ",https://www.redfin.com/bc/vancouver/375-E-33rd-Ave-V5V-2Z8/unit-2/home/195221659
1436,1436,365 E 33rd Ave #1,V5V 2Z8,"$2,498,000",4 beds,3.5 baths,"2,334 ",https://www.redfin.com/bc/vancouver/365-E-33rd-Ave-V5V-2Z8/unit-1/home/195221632
1437,1437,369 E 33rd Ave #6,V5V 2Z8,"$1,725,000",3 beds,2.5 baths,"1,274 ",https://www.redfin.com/bc/vancouver/369-E-33rd-Ave-V5V-2Z8/unit-6/home/195221630
1438,1438,221 Union St #315,V6A 0B4,"$849,000",2 beds,2 baths,939 ,https://www.redfin.com/bc/vancouver/221-Union-St-V6A-0B4/unit-315/home/154864051
1439,1439,"530 W 14th St, Nort",V7M 1P9,"$2,248,000",4 beds,2 baths,"1,749 ",https://www.redfin.com/bc/north-vancouver/530-14th-St-W-V7M-1P9/home/168411882
1440,1440,3913 Dundas ,V5C 1A6,"$2,495,000",5 beds,3 baths,"3,497 ",https://www.redfin.com/bc/burnaby/3913-Dundas-St-V5C-1A6/home/155405284
1441,1441,367 E 33rd Ave #4,V5V 2Z8,"$1,698,000",3 beds,2.5 baths,"1,271 ",https://www.redfin.com/bc/vancouver/367-E-33rd-Ave-V5V-2Z8/unit-4/home/195220466
1442,1442,3430 E Kent Avenue South Ave #410,V5S 0G7,"$679,900",1 bed,1 bath,591 ,https://www.redfin.com/bc/vancouver/3430-E-Kent-Ave-S-V5S-0G7/unit-410/home/195220465
1443,1443,4078 Knight St #509,V5N 5Y9,"$575,000",1 bed,1 bath,555 ,https://www.redfin.com/bc/vancouver/4078-Knight-St-V5N/unit-509/home/155590064
1444,1444,4005 Vine St,V6L 3C1,"$2,998,000",3 beds,4 baths,"2,965 ",https://www.redfin.com/bc/vancouver/4005-Vine-St-V6L-3B9/home/155932522
1445,1445,2621 Quebec St #202,V5T 3A6,"$899,000",2 beds,1.5 baths,900 ,https://www.redfin.com/bc/vancouver/2621-Quebec-St-V5T-3A6/unit-202/home/155906105
1446,1446,6308 Cambie St,V5Z 0K2,"$1,298,000",2 beds,2.5 baths,"1,000 ",https://www.redfin.com/bc/vancouver/6308-Cambie-St-V5Z-3B4/home/161474489
1447,1447,2365 W 13th Ave,V6K 2S5,"$2,499,000",4 beds,3.5 baths,"1,903 ",https://www.redfin.com/bc/vancouver/2365-W-13th-Ave-V6K-2S5/home/155741719
1448,1448,1931 East 7TH Ave #1927,V5N 1S3,"$3,598,000",7 beds,5 baths,"3,063 ",https://www.redfin.com/BC/Vancouver/1931-E-7th-Ave-V5N-1S3/unit-1927/home/195219429
1449,1449,3311 Sophia St,V5V 3T4,"$2,775,000",6 beds,5.5 baths,"3,073 ",https://www.redfin.com/bc/vancouver/3311-Sophia-St-V5V-3T4/home/155499085
1450,1450,3778 Wakefield C,V5G 2C4,"$2,190,000",4 beds,2.5 baths,"2,365 ",https://www.redfin.com/bc/burnaby/3778-Wakefield-Crt-V5G-2C4/home/155306870
1451,1451,2829 Ash St #101,V5Z 4P5,"$919,000",2 beds,2 baths,924 ,https://www.redfin.com/bc/vancouver/2829-Ash-St-V5Z-4P5/unit-101/home/156493469
1452,1452,1365 Davie St #1401,V6E 1N5,"$1,499,000",2 beds,2 baths,956 ,https://www.redfin.com/bc/vancouver/1365-Davie-St-V6E-1N5/unit-1401/home/181553336
1453,1453,373 E 33rd Ave #3,V5V 2Z8,"$1,949,000",3 beds,2.5 baths,"1,479 ",https://www.redfin.com/BC/Vancouver/373-E-33rd-Ave-V5V-2Z8/unit-3/home/195221713
1454,1454,371 E 33rd Ave #6,V5V 2Z8,"$1,975,000",3 beds,2.5 baths,"1,525 ",https://www.redfin.com/bc/vancouver/371-E-33rd-Ave-V5V-2Z8/unit-6/home/195221712
1455,1455,375 E 33rd Ave #2,V5V 2Z8,"$2,199,000",4 beds,2.5 baths,"1,691 ",https://www.redfin.com/bc/vancouver/375-E-33rd-Ave-V5V-2Z8/unit-2/home/195221659
1456,1456,365 E 33rd Ave #1,V5V 2Z8,"$2,498,000",4 beds,3.5 baths,"2,334 ",https://www.redfin.com/bc/vancouver/365-E-33rd-Ave-V5V-2Z8/unit-1/home/195221632
1457,1457,369 E 33rd Ave #6,V5V 2Z8,"$1,725,000",3 beds,2.5 baths,"1,274 ",https://www.redfin.com/bc/vancouver/369-E-33rd-Ave-V5V-2Z8/unit-6/home/195221630
1458,1458,221 Union St #315,V6A 0B4,"$849,000",2 beds,2 baths,939 ,https://www.redfin.com/bc/vancouver/221-Union-St-V6A-0B4/unit-315/home/154864051
1459,1459,"530 W 14th St, Nort",V7M 1P9,"$2,248,000",4 beds,2 baths,"1,749 ",https://www.redfin.com/bc/north-vancouver/530-14th-St-W-V7M-1P9/home/168411882
1460,1460,3913 Dundas ,V5C 1A6,"$2,495,000",5 beds,3 baths,"3,497 ",https://www.redfin.com/bc/burnaby/3913-Dundas-St-V5C-1A6/home/155405284
1461,1461,367 E 33rd Ave #4,V5V 2Z8,"$1,698,000",3 beds,2.5 baths,"1,271 ",https://www.redfin.com/bc/vancouver/367-E-33rd-Ave-V5V-2Z8/unit-4/home/195220466
1462,1462,3430 E Kent Avenue South Ave #410,V5S 0G7,"$679,900",1 bed,1 bath,591 ,https://www.redfin.com/bc/vancouver/3430-E-Kent-Ave-S-V5S-0G7/unit-410/home/195220465
1463,1463,4078 Knight St #509,V5N 5Y9,"$575,000",1 bed,1 bath,555 ,https://www.redfin.com/bc/vancouver/4078-Knight-St-V5N/unit-509/home/155590064
1464,1464,4005 Vine St,V6L 3C1,"$2,998,000",3 beds,4 baths,"2,965 ",https://www.redfin.com/bc/vancouver/4005-Vine-St-V6L-3B9/home/155932522
1465,1465,2621 Quebec St #202,V5T 3A6,"$899,000",2 beds,1.5 baths,900 ,https://www.redfin.com/bc/vancouver/2621-Quebec-St-V5T-3A6/unit-202/home/155906105
1466,1466,6308 Cambie St,V5Z 0K2,"$1,298,000",2 beds,2.5 baths,"1,000 ",https://www.redfin.com/bc/vancouver/6308-Cambie-St-V5Z-3B4/home/161474489
1467,1467,2365 W 13th Ave,V6K 2S5,"$2,499,000",4 beds,3.5 baths,"1,903 ",https://www.redfin.com/bc/vancouver/2365-W-13th-Ave-V6K-2S5/home/155741719
1468,1468,1931 East 7TH Ave #1927,V5N 1S3,"$3,598,000",7 beds,5 baths,"3,063 ",https://www.redfin.com/BC/Vancouver/1931-E-7th-Ave-V5N-1S3/unit-1927/home/195219429
1469,1469,3311 Sophia St,V5V 3T4,"$2,775,000",6 beds,5.5 baths,"3,073 ",https://www.redfin.com/bc/vancouver/3311-Sophia-St-V5V-3T4/home/155499085
1470,1470,3778 Wakefield C,V5G 2C4,"$2,190,000",4 beds,2.5 baths,"2,365 ",https://www.redfin.com/bc/burnaby/3778-Wakefield-Crt-V5G-2C4/home/155306870
1471,1471,2829 Ash St #101,V5Z 4P5,"$919,000",2 beds,2 baths,924 ,https://www.redfin.com/bc/vancouver/2829-Ash-St-V5Z-4P5/unit-101/home/156493469
1472,1472,1365 Davie St #1401,V6E 1N5,"$1,499,000",2 beds,2 baths,956 ,https://www.redfin.com/bc/vancouver/1365-Davie-St-V6E-1N5/unit-1401/home/181553336
1473,1473,373 E 33rd Ave #3,V5V 2Z8,"$1,949,000",3 beds,2.5 baths,"1,479 ",https://www.redfin.com/BC/Vancouver/373-E-33rd-Ave-V5V-2Z8/unit-3/home/195221713
1474,1474,371 E 33rd Ave #6,V5V 2Z8,"$1,975,000",3 beds,2.5 baths,"1,525 ",https://www.redfin.com/bc/vancouver/371-E-33rd-Ave-V5V-2Z8/unit-6/home/195221712
1475,1475,375 E 33rd Ave #2,V5V 2Z8,"$2,199,000",4 beds,2.5 baths,"1,691 ",https://www.redfin.com/bc/vancouver/375-E-33rd-Ave-V5V-2Z8/unit-2/home/195221659
1476,1476,365 E 33rd Ave #1,V5V 2Z8,"$2,498,000",4 beds,3.5 baths,"2,334 ",https://www.redfin.com/bc/vancouver/365-E-33rd-Ave-V5V-2Z8/unit-1/home/195221632
1477,1477,369 E 33rd Ave #6,V5V 2Z8,"$1,725,000",3 beds,2.5 baths,"1,274 ",https://www.redfin.com/bc/vancouver/369-E-33rd-Ave-V5V-2Z8/unit-6/home/195221630
1478,1478,221 Union St #315,V6A 0B4,"$849,000",2 beds,2 baths,939 ,https://www.redfin.com/bc/vancouver/221-Union-St-V6A-0B4/unit-315/home/154864051
1479,1479,"530 W 14th St, Nort",V7M 1P9,"$2,248,000",4 beds,2 baths,"1,749 ",https://www.redfin.com/bc/north-vancouver/530-14th-St-W-V7M-1P9/home/168411882
1480,1480,3913 Dundas ,V5C 1A6,"$2,495,000",5 beds,3 baths,"3,497 ",https://www.redfin.com/bc/burnaby/3913-Dundas-St-V5C-1A6/home/155405284
1481,1481,367 E 33rd Ave #4,V5V 2Z8,"$1,698,000",3 beds,2.5 baths,"1,271 ",https://www.redfin.com/bc/vancouver/367-E-33rd-Ave-V5V-2Z8/unit-4/home/195220466
1482,1482,3430 E Kent Avenue South Ave #410,V5S 0G7,"$679,900",1 bed,1 bath,591 ,https://www.redfin.com/bc/vancouver/3430-E-Kent-Ave-S-V5S-0G7/unit-410/home/195220465
1483,1483,4078 Knight St #509,V5N 5Y9,"$575,000",1 bed,1 bath,555 ,https://www.redfin.com/bc/vancouver/4078-Knight-St-V5N/unit-509/home/155590064
1484,1484,4005 Vine St,V6L 3C1,"$2,998,000",3 beds,4 baths,"2,965 ",https://www.redfin.com/bc/vancouver/4005-Vine-St-V6L-3B9/home/155932522
1485,1485,2621 Quebec St #202,V5T 3A6,"$899,000",2 beds,1.5 baths,900 ,https://www.redfin.com/bc/vancouver/2621-Quebec-St-V5T-3A6/unit-202/home/155906105
1486,1486,6308 Cambie St,V5Z 0K2,"$1,298,000",2 beds,2.5 baths,"1,000 ",https://www.redfin.com/bc/vancouver/6308-Cambie-St-V5Z-3B4/home/161474489
1487,1487,2365 W 13th Ave,V6K 2S5,"$2,499,000",4 beds,3.5 baths,"1,903 ",https://www.redfin.com/bc/vancouver/2365-W-13th-Ave-V6K-2S5/home/155741719
1488,1488,1931 East 7TH Ave #1927,V5N 1S3,"$3,598,000",7 beds,5 baths,"3,063 ",https://www.redfin.com/BC/Vancouver/1931-E-7th-Ave-V5N-1S3/unit-1927/home/195219429
1489,1489,3311 Sophia St,V5V 3T4,"$2,775,000",6 beds,5.5 baths,"3,073 ",https://www.redfin.com/bc/vancouver/3311-Sophia-St-V5V-3T4/home/155499085
1490,1490,3778 Wakefield C,V5G 2C4,"$2,190,000",4 beds,2.5 baths,"2,365 ",https://www.redfin.com/bc/burnaby/3778-Wakefield-Crt-V5G-2C4/home/155306870
1491,1491,2829 Ash St #101,V5Z 4P5,"$919,000",2 beds,2 baths,924 ,https://www.redfin.com/bc/vancouver/2829-Ash-St-V5Z-4P5/unit-101/home/156493469
1492,1492,1365 Davie St #1401,V6E 1N5,"$1,499,000",2 beds,2 baths,956 ,https://www.redfin.com/bc/vancouver/1365-Davie-St-V6E-1N5/unit-1401/home/181553336
1493,1493,373 E 33rd Ave #3,V5V 2Z8,"$1,949,000",3 beds,2.5 baths,"1,479 ",https://www.redfin.com/BC/Vancouver/373-E-33rd-Ave-V5V-2Z8/unit-3/home/195221713
1494,1494,371 E 33rd Ave #6,V5V 2Z8,"$1,975,000",3 beds,2.5 baths,"1,525 ",https://www.redfin.com/bc/vancouver/371-E-33rd-Ave-V5V-2Z8/unit-6/home/195221712
1495,1495,375 E 33rd Ave #2,V5V 2Z8,"$2,199,000",4 beds,2.5 baths,"1,691 ",https://www.redfin.com/bc/vancouver/375-E-33rd-Ave-V5V-2Z8/unit-2/home/195221659
1496,1496,365 E 33rd Ave #1,V5V 2Z8,"$2,498,000",4 beds,3.5 baths,"2,334 ",https://www.redfin.com/bc/vancouver/365-E-33rd-Ave-V5V-2Z8/unit-1/home/195221632
1497,1497,369 E 33rd Ave #6,V5V 2Z8,"$1,725,000",3 beds,2.5 baths,"1,274 ",https://www.redfin.com/bc/vancouver/369-E-33rd-Ave-V5V-2Z8/unit-6/home/195221630
1498,1498,221 Union St #315,V6A 0B4,"$849,000",2 beds,2 baths,939 ,https://www.redfin.com/bc/vancouver/221-Union-St-V6A-0B4/unit-315/home/154864051
1499,1499,"530 W 14th St, Nort",V7M 1P9,"$2,248,000",4 beds,2 baths,"1,749 ",https://www.redfin.com/bc/north-vancouver/530-14th-St-W-V7M-1P9/home/168411882
1500,1500,3913 Dundas ,V5C 1A6,"$2,495,000",5 beds,3 baths,"3,497 ",https://www.redfin.com/bc/burnaby/3913-Dundas-St-V5C-1A6/home/155405284
1501,1501,367 E 33rd Ave #4,V5V 2Z8,"$1,698,000",3 beds,2.5 baths,"1,271 ",https://www.redfin.com/bc/vancouver/367-E-33rd-Ave-V5V-2Z8/unit-4/home/195220466
1502,1502,3430 E Kent Avenue South Ave #410,V5S 0G7,"$679,900",1 bed,1 bath,591 ,https://www.redfin.com/bc/vancouver/3430-E-Kent-Ave-S-V5S-0G7/unit-410/home/195220465
1503,1503,4078 Knight St #509,V5N 5Y9,"$575,000",1 bed,1 bath,555 ,https://www.redfin.com/bc/vancouver/4078-Knight-St-V5N/unit-509/home/155590064
1504,1504,4005 Vine St,V6L 3C1,"$2,998,000",3 beds,4 baths,"2,965 ",https://www.redfin.com/bc/vancouver/4005-Vine-St-V6L-3B9/home/155932522
1505,1505,2621 Quebec St #202,V5T 3A6,"$899,000",2 beds,1.5 baths,900 ,https://www.redfin.com/bc/vancouver/2621-Quebec-St-V5T-3A6/unit-202/home/155906105
1506,1506,6308 Cambie St,V5Z 0K2,"$1,298,000",2 beds,2.5 baths,"1,000 ",https://www.redfin.com/bc/vancouver/6308-Cambie-St-V5Z-3B4/home/161474489
1507,1507,2365 W 13th Ave,V6K 2S5,"$2,499,000",4 beds,3.5 baths,"1,903 ",https://www.redfin.com/bc/vancouver/2365-W-13th-Ave-V6K-2S5/home/155741719
1508,1508,1931 East 7TH Ave #1927,V5N 1S3,"$3,598,000",7 beds,5 baths,"3,063 ",https://www.redfin.com/BC/Vancouver/1931-E-7th-Ave-V5N-1S3/unit-1927/home/195219429
1509,1509,3311 Sophia St,V5V 3T4,"$2,775,000",6 beds,5.5 baths,"3,073 ",https://www.redfin.com/bc/vancouver/3311-Sophia-St-V5V-3T4/home/155499085
1510,1510,3778 Wakefield C,V5G 2C4,"$2,190,000",4 beds,2.5 baths,"2,365 ",https://www.redfin.com/bc/burnaby/3778-Wakefield-Crt-V5G-2C4/home/155306870
1511,1511,2829 Ash St #101,V5Z 4P5,"$919,000",2 beds,2 baths,924 ,https://www.redfin.com/bc/vancouver/2829-Ash-St-V5Z-4P5/unit-101/home/156493469
1512,1512,1365 Davie St #1401,V6E 1N5,"$1,499,000",2 beds,2 baths,956 ,https://www.redfin.com/bc/vancouver/1365-Davie-St-V6E-1N5/unit-1401/home/181553336
1513,1513,8588 Cornish St #1105,V6P 0C1,"$868,000",2 beds,2 baths,817 ,https://www.redfin.com/bc/vancouver/8588-Cornish-St-V6P-5B7/unit-1105/home/167168814
1514,1514,8692 FRENCH St,V6P 4W6,"$4,880,000",— beds,— baths,"6,500 ",https://www.redfin.com/bc/vancouver/8692-French-St-V6P-4W6/home/155511223
1515,1515,7828 Granville St #123,V6P 4Z2,"$849,000",2 beds,2 baths,862 ,https://www.redfin.com/bc/vancouver/7828-Granville-St-V6P-4Z2/unit-123/home/168584601
1516,1516,1659 W 63rd Ave,V6P 2H7,"$2,599,000",3 beds,2.5 baths,"2,200 ",https://www.redfin.com/bc/vancouver/1659-W-63rd-Ave-V6P-2H7/home/155694505
1517,1517,8453 Fremlin St,V6P 3X1,"$1,549,000",3 beds,2.5 baths,"1,326 ",https://www.redfin.com/bc/vancouver/8453-Fremlin-St-V6P-3X1/home/155601056
1518,1518,1926 W 62nd Ave,V6P 2G6,"$3,850,000",5 beds,5.5 baths,"3,915 ",https://www.redfin.com/bc/vancouver/1926-W-62nd-Ave-V6P-2G6/home/155552207
1519,1519,8412 Fremlin St,V6P 3X2,"$1,399,000",3 beds,2.5 baths,"1,202 ",https://www.redfin.com/bc/vancouver/8412-Fremlin-St-V6P-3X2/home/155634717
1520,1520,8086 Laurel St,V6P 3V1,"$2,749,000",6 beds,4.5 baths,"2,140 ",https://www.redfin.com/bc/vancouver/8086-Laurel-St-V6P-3V1/home/195155833
1521,1521,7541 Osler St,V6P 4C8,"$2,799,000",5 beds,3.5 baths,"2,524 ",https://www.redfin.com/bc/vancouver/7541-Osler-St-V6P-4C8/home/155658936
1522,1522,850 W 64th Ave,V6P 3V1,"$2,699,000",6 beds,4.5 baths,"2,095 ",https://www.redfin.com/bc/vancouver/850-W-64th-Ave-V6P-3V2/home/195145048
1523,1523,8398 Oak St #603,V6P 4A9,"$1,360,900",3 beds,2 baths,941 ,https://www.redfin.com/bc/vancouver/8398-Oak-St-V6P-4B1/unit-603/home/195136317
1524,1524,8398 Oak St #301,V6P 4A9,"$974,900",2 beds,2 baths,835 ,https://www.redfin.com/bc/vancouver/8398-Oak-St-V6P-4B1/unit-301/home/195134405
1525,1525,8398 Oak St #312,V6P 4A9,"$675,900",1 bed,1 bath,556 ,https://www.redfin.com/bc/vancouver/8398-Oak-St-V6P-4B1/unit-312/home/195134227
1526,1526,1472 W 67th Ave,V6P 4W3,"$1,699,000",3 beds,2.5 baths,"1,458 ",https://www.redfin.com/bc/vancouver/1472-W-67th-Ave-V6P-4W3/home/195117492
1527,1527,8772 SW Marine Dr #101,V6P 6A4,"$710,000",2 beds,2 baths,"1,124 ",https://www.redfin.com/bc/vancouver/8772-SW-Marine-Dr-V6P-6A4/unit-101/home/155618668
1528,1528,866 W 59th Ave,V6P 1X7,"$2,188,000",6 beds,3.5 baths,"2,241 ",https://www.redfin.com/bc/vancouver/866-W-59th-Ave-V6P-1X7/home/155648769
1529,1529,1976 W 61st Ave,V6P 2C7,"$2,898,000",6 beds,2.5 baths,"2,970 ",https://www.redfin.com/bc/vancouver/1976-W-61st-Ave-V6P-2C7/home/155510157
1530,1530,8588 Osler St,V6P 0G4,"$1,680,000",3 beds,2.5 baths,"1,697 ",https://www.redfin.com/bc/vancouver/8588-Osler-St-V6P-4E4/home/168584793
1531,1531,1479 W 59th Ave,V6P 1Y8,"$2,280,000",8 beds,5.5 baths,"4,291 ",https://www.redfin.com/bc/vancouver/1479-W-59th-Ave-V6P-1Y8/home/155561313
1532,1532,8315 French St,V6P 4W3,"$1,298,800",3 beds,2 baths,996 ,https://www.redfin.com/bc/vancouver/8315-French-St-V6P/home/184706054
1533,1533,8488 Cornish St #620,V6P 0C2,"$948,000",2 beds,2 baths,911 ,https://www.redfin.com/bc/vancouver/8488-Cornish-St-V6P-0C2/unit-620/home/155587228
1534,1534,1895 W 60th Ave,V6P 2A8,"$3,880,000",5 beds,6.5 baths,"3,239 ",https://www.redfin.com/bc/vancouver/1895-W-60th-Ave-V6P-2A9/home/155467383
1535,1535,8079 Selkirk St #2,V6P 4H8,"$1,988,999",3 beds,3.5 baths,"1,558 ",https://www.redfin.com/bc/vancouver/8079-Selkirk-St-V6P-4H8/unit-2/home/194984420
1536,1536,7481 Laurel St,V6P 6Y4,"$1,799,000",4 beds,3.5 baths,"1,890 ",https://www.redfin.com/bc/vancouver/7481-Laurel-St-V6P-6Y3/home/155523713
1537,1537,8079 Selkirk St #1,V6P 4H8,"$1,988,999",3 beds,3.5 baths,"1,558 ",https://www.redfin.com/bc/vancouver/8079-Selkirk-St-V6P-4H8/unit-1/home/194956604
1538,1538,8068 Haig St,V6P 4R9,"$3,298,800",6 beds,6.5 baths,"2,700 ",https://www.redfin.com/bc/vancouver/8068-Haig-St-V6P-4R9/home/155623315
1539,1539,8522 Shaughnessy St,V6P 3Y2,"$1,499,000",3 beds,3 baths,"1,157 ",https://www.redfin.com/bc/vancouver/8522-Shaughnessy-St-V6P-3Y2/home/155426905
1540,1540,1542 W 65th Ave,V6P 2R1,"$2,288,000",4 beds,2.5 baths,"2,411 ",https://www.redfin.com/bc/vancouver/1542-W-65th-Ave-V6P-2R1/home/155517956
1541,1541,1414 W 73rd Ave #401,V6P 3E8,"$679,000",2 beds,1 bath,984 ,https://www.redfin.com/bc/vancouver/1414-W-73rd-Ave-V6P-3E8/unit-401/home/155478220
1542,1542,989 W 67th Ave #803,V6P 4B1,"$2,258,000",3 beds,2 baths,"1,258 ",https://www.redfin.com/bc/vancouver/989-W-67th-Ave-V6P-4B1/unit-803/home/190652944
1543,1543,7903 Oak St,V6P 4A6,"$1,550,000",3 beds,2.5 baths,"1,568 ",https://www.redfin.com/bc/vancouver/7903-Oak-St-V6P-4A6/home/190732451
1544,1544,7531 Oak St,V6P 4A4,"$2,468,000",6 beds,4 baths,"1,935 ",https://www.redfin.com/bc/vancouver/7531-Oak-St-V6P-4A4/home/155675853
1545,1545,1195 W 59 Ave,V6P 1Y1,"$4,900,000",9 beds,5.5 baths,"6,017 ",https://www.redfin.com/bc/vancouver/1195-W-59th-Ave-V6P-1Y1/home/155502372
1546,1546,1503 W 66th Ave #211,V6P 2R8,"$515,000",1 bed,1 bath,564 ,https://www.redfin.com/bc/vancouver/1503-W-66th-Ave-V6P-2R8/unit-211/home/155459267
1547,1547,2060 SW Marine Dr,V6P 6B5,"$3,950,000",3 beds,5 baths,"3,544 ",https://www.redfin.com/bc/vancouver/2060-SW-Marine-Dr-V6P-6B5/home/168547523
1548,1548,1258 Park Dr,V6P 2J9,"$1,788,000",4 beds,1 bath,"1,694 ",https://www.redfin.com/bc/vancouver/1258-Park-Dr-V6P-2J9/home/155554548
1549,1549,8888 Osler St #409,V6P 4G2,"$649,900",1 bed,1 bath,648 ,https://www.redfin.com/bc/vancouver/8888-Osler-St-V6P-4G2/unit-409/home/180545561
1550,1550,1469 W 59th Ave,V6P 1Y8,"$3,390,000",7 beds,5 baths,"4,033 ",https://www.redfin.com/bc/vancouver/1469-W-59th-Ave-V6P-1Y8/home/155660018
1551,1551,7871 French St,V6P 4V8,"$1,650,000",3 beds,2.5 baths,"1,451 ",https://www.redfin.com/bc/vancouver/7871-French-St-V6P-4V8/home/155531549
1552,1552,1688 W 61st Ave,V6P 2C3,"$4,150,000",6 beds,5 baths,"3,948 ",https://www.redfin.com/bc/vancouver/1688-W-61st-Ave-V6P-2C3/home/155495481
1553,1553,7662 French St,V6P 4V6,"$5,188,000",9 beds,7.5 baths,"4,175 ",https://www.redfin.com/bc/vancouver/7662-French-St-V6P-4V6/home/180217510
1554,1554,8237 Montcalm St,V6P 4P4,"$2,349,000",5 beds,3 baths,"2,471 ",https://www.redfin.com/bc/vancouver/8237-Montcalm-St-V6P-4P4/home/155549127
1555,1555,8032 Cartier St,V6P 4T5,"$2,199,000",6 beds,3.5 baths,"2,426 ",https://www.redfin.com/bc/vancouver/8032-Cartier-St-V6P-4T5/home/155530246
1556,1556,1373 W 64th Ave,V6P 2N3,"$2,488,000",7 beds,3 baths,"3,256 ",https://www.redfin.com/bc/vancouver/1373-W-64th-Ave-V6P-2N3/home/155704736
1557,1557,1898 W 61st Ave,V6P 2C4,"$3,688,000",6 beds,4 baths,"3,931 ",https://www.redfin.com/bc/vancouver/1898-W-61st-Ave-V6P-2C4/home/155553034
1558,1558,8508 E Boulevard #2,V6P 5E6,"$2,462,000",3 beds,3.5 baths,"1,571 ",https://www.redfin.com/bc/vancouver/8508-East-Blvd-V6P-5E6/unit-2/home/194873494
1559,1559,7607 Osler St,V6P 4C8,"$2,688,800",6 beds,3.5 baths,"2,532 ",https://www.redfin.com/bc/vancouver/7607-Osler-St-V6P-4C8/home/155661553
1560,1560,8090 Laurel St,V6P 3V1,"$3,728,000",5 beds,3.5 baths,"4,025 ",https://www.redfin.com/bc/vancouver/8090-Laurel-St-V6P-3V1/home/155513033
1561,1561,8555 Granville St #1203,V6P 0C3,"$623,000",1 bed,1 bath,511 ,https://www.redfin.com/bc/vancouver/8555-Granville-St-V6P-0C3/unit-1203/home/168584677
1562,1562,7815 Shaughnessy St,V6P 3X7,"$1,798,800",3 beds,2 baths,"1,430 ",https://www.redfin.com/bc/vancouver/7815-Shaughnessy-St-V6P-3X7/home/155666622
1563,1563,972 Park Dr,V6P 2J4,"$2,299,900",5 beds,3 baths,"1,788 ",https://www.redfin.com/bc/vancouver/972-Park-Dr-V6P-3X7/home/194794234
1564,1564,8989 Hudson St #403,V6P 6Y1,"$699,000",2 beds,2 baths,785 ,https://www.redfin.com/bc/vancouver/8989-Hudson-St-V6P-6Y1/unit-403/home/155632777
1565,1565,1315 W 64th Ave #2,V6P 2M9,"$1,688,000",4 beds,3.5 baths,"1,551 ",https://www.redfin.com/bc/vancouver/1315-W-64th-Ave-V6P-2M9/unit-2/home/193654086
1566,1566,1315 W 64th Ave #1,V6P 2M9,"$1,988,000",4 beds,3.5 baths,"1,485 ",https://www.redfin.com/bc/vancouver/1315-W-64th-Ave-V6P-2M9/unit-1/home/193653490
1567,1567,7927 Laurel St,V6P 6K7,"$2,988,000",4 beds,4.5 baths,"2,664 ",https://www.redfin.com/bc/vancouver/7927-Laurel-St-V6P-2H4/home/155420699
1568,1568,1507 W 59th Ave,V6P 0H2,"$1,650,000",3 beds,3 baths,"1,489 ",https://www.redfin.com/bc/vancouver/1507-W-59th-Ave-V6P-1Z2/home/155583106
1569,1569,8504 Montcalm St,V6P 4P7,"$2,880,000",2 beds,1 bath,"1,828 ",https://www.redfin.com/bc/vancouver/8504-Montcalm-St-V6P-4P7/home/155552579
