,address,zip_code,price,bed,bath,sqr_footage,property_link
34,2036 W 10th Ave #202,V6J 2B3,"$749,000",1 bed,1 bath,700 ,https://www.redfin.com/bc/vancouver/2036-W-10th-Ave-V6J-2B3/unit-202/home/155484128
35,2799 Yew St #705,V6K 4W2,"$683,000",1 bed,1 bath,620 ,https://www.redfin.com/bc/vancouver/2799-Yew-St-V6K-4W2/unit-705/home/155874157
36,1786 W 6th Ave,V6J 0E5,"$1,138,000",1 bed,1.5 baths,"1,037 ",https://www.redfin.com/bc/vancouver/1786-W-6th-Ave-V6J-5E8/home/155392251
37,1824 W 12th Ave,V6J 2E8,"$835,000",1 bed,1.5 baths,681 ,https://www.redfin.com/bc/vancouver/1824-W-12th-Ave-V6J-2E8/home/178274801
38,2655 Cranberry Dr #210,V6K 4V5,"$1,329,900",2 beds,2 baths,"1,039 ",https://www.redfin.com/bc/vancouver/2655-Cranberry-Dr-V6K-4V5/unit-210/home/155928450
39,1868 W 8th Ave #201,V6J 5G3,"$985,000",2 beds,2 baths,913 ,https://www.redfin.com/bc/vancouver/1868-W-8th-Ave-V6J-5G3/unit-201/home/155486142
40,1906 W 14th Ave,V6J 2K2,"$2,788,000",3 beds,2.5 baths,"1,891 ",https://www.redfin.com/bc/vancouver/1906-W-14th-Ave-V6J-2K2/home/155370547
41,1717 W 13th Ave #207,V6J 2H2,"$680,000",1 bed,1 bath,656 ,https://www.redfin.com/bc/vancouver/1717-W-13th-Ave-V6J-2H2/unit-207/home/155271876
42,2330 Maple St #106,V6J 3T6,"$516,500",1 bed,1 bath,478 ,https://www.redfin.com/bc/vancouver/2330-Maple-St-V6J-3T6/unit-106/home/155497147
43,2190 W 7th Ave #111,V6K 4K7,"$639,900",1 bed,1 bath,496 ,https://www.redfin.com/bc/vancouver/2190-W-7th-Ave-V6K-4K7/unit-111/home/155928749
44,2137 W 10th Ave #707,V6K 4W4,"$649,000",1 bed,1 bath,586 ,https://www.redfin.com/bc/vancouver/2137-W-10th-Ave-V6K-4W4/unit-707/home/155828101
45,1844 W 7th Ave #340,V6J 1S8,"$638,000",1 bed,1 bath,698 ,https://www.redfin.com/bc/vancouver/1844-W-7th-Ave-V6J-1S8/unit-340/home/155305421
46,2033 W 10th Ave #501,V6J 0H1,"$748,888",1 bed,1 bath,590 ,https://www.redfin.com/bc/vancouver/2033-W-10th-Ave-V6J-1Z4/unit-501/home/168458672
47,2323 Fir St Unit TH2,V6J 5J9,"$1,966,900",2 beds,2.5 baths,"1,063 ",https://www.redfin.com/bc/vancouver/2323-Fir-St-V6J-1S5/unit-TH2/home/194309625
48,2323 Fir St Unit TH1,V6J 5J9,"$1,599,900",2 beds,2.5 baths,911 ,https://www.redfin.com/bc/vancouver/2323-Fir-St-V6J-1S5/unit-TH1/home/194727516
49,2323 Fir St #303,V5K 2B5,"$1,405,900",2 beds,2 baths,876 ,https://www.redfin.com/bc/vancouver/2323-Fir-St-V6J-1S5/unit-303/home/190901451
50,2323 Fir St #605,V6J 5J9,"$1,362,900",2 beds,2 baths,784 ,https://www.redfin.com/bc/vancouver/2323-Fir-St-V6J-1S5/unit-605/home/194726681
51,2323 Fir St #601,V6J 5J9,"$1,399,900",2 beds,2 baths,799 ,https://www.redfin.com/bc/vancouver/2323-Fir-St-V6J-1S5/unit-601/home/194726569
52,2323 Fir St #503,V6J 5J9,"$893,900",1 bed,1 bath,527 ,https://www.redfin.com/bc/vancouver/2323-Fir-St-V6J-1S5/unit-503/home/194726494
53,2227 W 16th Ave,V6K 3B4,"$1,399,900",3 beds,2 baths,"1,089 ",https://www.redfin.com/bc/vancouver/2227-W-16th-Ave-V6K-3B4/home/194597350
